<<<<<<< HEAD
GCU,96241,2
EVC,76186,10,2
DCU,20770,2
GCU,12252,8
EVC,53940,7,2
AMB,65073,2
EVC,00039,7,2
EVC,34437,10,14
FTK,61454,10
DCU,59830,8
FTK,25119,7
DCU,06219,9
FTK,32792,2
EVC,06175,2,8
FTK,95731,10
FTK,75733,8
DCU,21590,1
AMB,24874,6
GCU,57519,2
EVC,65774,9,4
DCU,51534,8
FTK,96217,9
DCU,82147,7
GCU,34804,3
AMB,49884,9
=======
<<<<<<< HEAD
FTK,27358,3
AMB,00239,1
AMB,31895,7
AMB,46328,8
AMB,40587,8
AMB,38119,10
DCU,34463,5
GCU,91225,3
EVC,04549,7,4
EVC,99064,2,7
GCU,49142,3
AMB,29230,5
GCU,23165,4
EVC,20596,10,13
AMB,34906,10
AMB,87582,2
EVC,27483,2,14
AMB,44228,3
GCU,99024,10
DCU,83599,6
EVC,43330,10,5
EVC,09362,3,3
FTK,39879,3
AMB,35388,10
GCU,34968,1
=======
AMB,06601,6
GCU,00778,7
DCU,09405,1
AMB,36666,6
EVC,21634,7,10
FTK,53702,1
AMB,51149,6
DCU,61387,6
DCU,09599,5
AMB,98085,10
DCU,02829,5
DCU,96825,5
DCU,54669,6
AMB,15324,7
AMB,63209,3
FTK,47996,7
GCU,85594,5
EVC,12365,3,2
DCU,35245,10
GCU,49392,8
GCU,82591,4
>>>>>>> df3646ab058b60a4baaaec53695bf785f325ffd3
>>>>>>> 973f9b2e72edfd52eb2ea5261d289c0e90713085
