9,3,208484742,Zjavf,55
8,6,382197314,Txulm,32
1,8,799831729,Icfhg,33
3,2,804864427,Cctwb,86
3,3,503015933,Vzgen,4
5,5,415135685,Wtrwd,5
5,1,503830937,Bhblf,74
8,5,544535631,Uwdfb,71
2,6,484733766,Cagna,10
1,6,301898421,Hjwck,67
2,0,320921740,Zkpxj,49
9,0,647751248,Kxtdn,31
6,1,554597882,Lmkie,51
5,2,431326658,Ivlgm,17
2,4,418761734,Myqdm,14
3,1,141053694,Wnfsl,43
5,8,433527593,Pqnac,26
3,5,792451989,Jhvsd,20
7,8,472940192,Fotgr,2
7,8,856124173,Tiwdh,48
5,8,070401915,Vljeg,19
8,8,601508444,Tpzht,52
8,6,135067013,Ousyq,14
1,2,874795715,Cshwd,61
3,3,508519039,Hffiu,82
